42,147624,Glacier Bay Keelia Single-Handle Pull-Out Sprayer Kitchen Faucet in Brushed Nickel,pricepfister kitchen faucet g135,2
43,163985,Delta Cassidy Single-Handle Pull-Out Sprayer Kitchen Faucet in Arctic Stainless,pricepfister kitchen faucet g135,2.33
44,165347,MOEN Kaden Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless Featuring Reflex,pricepfister kitchen faucet g135,2.33
45,165484,KOHLER Sous Single-Handle Pro-Style Pull-Down Sprayer Kitchen Faucet in Vibrant Stainless,pricepfister kitchen faucet g135,2
46,117269,Roberts Pro Pull Bar for Laminate and Wood Floors,pro pull rope,1.67
47,164242,American Pro Decor 2-3/8 in. x 2-1/8 in. x 94-1/2 in. Rope Polyurethane Crown Moulding,pro pull rope,1
48,181838,GROHE Ladylux 3 Pro Single-Handle Pull-Down Dual-Sprayer Kitchen Faucet in Stainless Steel,pro pull rope,1.67
49,182088,Amerock Inspirations 96 mm Satin Nickel Finish Rope Pull,pro pull rope,2.67
50,186066,Home Plow by Meyer Path Pro Rope Lift,pro pull rope,2
51,190280,Crown Bolt 7/16 in. x 100 ft. White Polypropylene Solid Braid Pro-Grade Rope,pro pull rope,2
52,191177,Everbilt 7/16 in. x 100 ft. White Solid Braid Polypropylene Pro-Grade Rope,pro pull rope,2.33
53,198476,Amerock Inspirations 128 mm Oil-Rubbed Bronze Rope Pull,pro pull rope,2.67
54,201476,American Pro Decor 96 in. x 7/8 in. x 2 in. Rope and Beads Polyurethane Panel Moulding,pro pull rope,1.33
55,203792,Crown Bolt 3/8 in. x 25 Blue Poly Pro Winch Rope,pro pull rope,2.33
56,100758,IDEAL Security 3 in. Pulley with Fork and Bolt,pulley,3
57,100890,Everbilt 3/8 in. x 100 ft. Diamond-Braid Poly Rope,pulley,1
58,101418,Racor HeavyLift Storage Platform,pulley,2.33
59,101663,The Art of Storage El Greco Ceiling Hoist for Equipment Storage,pulley,3
60,102344,Racor Ladder Lift,pulley,1.67
61,102647,Lehigh 1/2 in. Rigid Single Sheave Pulley,pulley,3
62,102982,Crown Bolt 1-1/2 in. Zinc-Plated Wall/Ceiling Mount Pulley,pulley,3
63,103073,Reese Towpower #1500 Winch with Strap,pulley,2
64,103305,Racor 1-Bike Ceiling Mount Bike Lift,pulley,3
65,101083,LightShow 24-Light LED C9 Color Motion Multi-Color String Light Set,contracor string light,2
66,107085,Home Accents Holiday 50-Light Clear String-to-String Light Set,contracor string light,2.67
67,142929,LightShow 8-Light White Projection Round String Lights with Clips,contracor string light,2
68,177466,LightShow AppLights 24-Light Multi-Color Icicle String Light Set,contracor string light,2
69,179968,Home Accents Holiday 50-Light Multi-Color String-to-String Light Set,contracor string light,2.33
70,203237,Home Accents Holiday C7 25-Light Clear Color Incandescent Light String,contracor string light,2.67
71,107888,Hampton Bay Steps 1 Toggle 1 Duplex Wall Plate - Antique Copper,copper plate,1.67
72,117735,Hampton Bay Steps 1 Decora Wall Plate - Antique Copper,copper plate,3
73,127832,The Copper Factory Triple Switch Plate - Antique Copper,copper plate,3
74,139137,Hampton Bay Steps 3 Toggle Wall Plate - Antique Copper,copper plate,2
75,142276,Fasade Flat Panel - 2 ft. x 2 ft. Lay-in Ceiling Tile in Polished Copper,copper plate,2.67
76,148494,Liberty Stamped Round 1 Duplex Outlet Wall Plate - Antique Copper,copper plate,2.33
77,161739,Hampton Bay Steps 2 Decora Wall Plate - Antique Copper,copper plate,2.33
78,103060,Husky 1200-Watt Work Light with Tripod,work hang light,1.67
79,108263,DEWALT 12-Volt Max LED Work Light,work hang light,2.33
80,139856,Husky Rechargeable 1000-Lumen 25-Watt LED Work Light,work hang light,2.33
81,155935,Philips 100-Watt Halogen T3 120-Volt Dimmable Work and Security Light Bulb,work hang light,2.33
82,157127,"PowerSmith 100-Watt (10,000 Lumens) LED Dual-Head Work Light with Tripod",work hang light,2
83,162801,Workforce 250-Watt Halogen Portable Work Light,work hang light,2.67
84,165114,RIDGID GEN5X 18-Volt Flexible Dual-Mode LED Work Light,work hang light,2.67
85,186761,General International 1.2-Amp 16 in. Variable Speed Scroll Saw with Flex Shaft LED Work Light,work hang light,1
86,100117,Home Decorators Collection Corner Desk in Espresso,computer desk,2
87,100515,Altra Furniture Mobile Computer Cart/Desk in Black,computer desk,3
88,101108,SAUDER Beginnings Collection 40 in. Storage Desk in Brook Cherry,computer desk,2
89,101197,SAUDER Beginnings Collection 40 in. Storage Desk in Cinnamon Cherry,computer desk,2.67
90,101561,SAUDER Beginnings Collection 53 in. Corner Desk in Cinnamon Cherry,computer desk,2.33
91,101587,SAUDER Beginnings Collection 46 in. Computer Desk in Cinnamon Cherry,computer desk,3
92,102048,SAUDER Shoal Creek Collection Jamocha Wood Desk with Organizer Hutch,computer desk,3
93,102827,Ameriwood Corner Desk with 2-Shelves in Black Ebony Ash,computer desk,3
94,102876,Ameriwood L-Shaped Desk in Dark Russet Cherry,computer desk,3
95,102966,South Shore Furniture Axess Small Desk in Royal Cherry,computer desk,2.67
96,103006,South Shore Furniture Axess Small Desk in Chocolate,computer desk,2
97,122727,3/8 in. x 50 ft. Hybrid Retractable Hose Reel,compressor hose,2
98,122849,1/4 in. x 25 ft. Polyurethane Air Hose,compressor hose,2
99,124888,Amflo 3/8 in. x 50 ft. Red Rubber Air Hose,compressor hose,3
100,132088,Amflo 3/8 in. x 25 ft. Red Rubber Hose with 1/4 in. NPT Fittings,compressor hose,2.67
101,134245,Husky 12-Piece Brass Air-Compressor Accessory Kit,compressor hose,1.33
102,138221,3/8 in. x 50 ft. Red Rubber Air Hose,compressor hose,2.67
103,145423,HDX 13-Piece Compressor Accessory Kit,compressor hose,3
104,149038,Campbell Hausfeld 50 ft. x 3/8 in. Maxus Rubber Air Hose,compressor hose,3
105,162083,Buffalo Tools 14-Piece Air Accessory Kit,compressor hose,2
106,124984,Powermate 105 - 135 psi Pressure Switch,compressor pressure switch,2.33
